F:\DATA\IMG\center_2020_10_19_14_18_31_681.jpg, F:\DATA\IMG\left_2020_10_19_14_18_31_681.jpg, F:\DATA\IMG\right_2020_10_19_14_18_31_681.jpg, 0, 0, 0, 7.889844E-05
F:\DATA\IMG\center_2020_10_19_14_18_31_860.jpg, F:\DATA\IMG\left_2020_10_19_14_18_31_860.jpg, F:\DATA\IMG\right_2020_10_19_14_18_31_860.jpg, 0, 0, 0, 8.080076E-05
F:\DATA\IMG\center_2020_10_19_14_18_31_959.jpg, F:\DATA\IMG\left_2020_10_19_14_18_31_959.jpg, F:\DATA\IMG\right_2020_10_19_14_18_31_959.jpg, 0, 0, 0, 7.835597E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_062.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_062.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_062.jpg, 0, 0, 0, 7.851074E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_169.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_169.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_169.jpg, 0, 0, 0, 7.867267E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_270.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_270.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_270.jpg, 0, 0, 0, 7.937857E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_372.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_372.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_372.jpg, 0, 0, 0, 7.858824E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_473.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_473.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_473.jpg, 0, 0, 0, 7.777713E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_574.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_574.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_574.jpg, 0, 0, 0, 7.82405E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_676.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_676.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_676.jpg, 0, 0, 0, 7.928644E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_778.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_778.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_778.jpg, 0, 0, 0, 8.025763E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_878.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_878.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_878.jpg, 0, 0, 0, 7.874802E-05
F:\DATA\IMG\center_2020_10_19_14_18_32_982.jpg, F:\DATA\IMG\left_2020_10_19_14_18_32_982.jpg, F:\DATA\IMG\right_2020_10_19_14_18_32_982.jpg, 0, 0.2990694, 0, 0.211656
F:\DATA\IMG\center_2020_10_19_14_18_33_085.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_085.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_085.jpg, 0, 0.5961012, 0, 0.8251624
F:\DATA\IMG\center_2020_10_19_14_18_33_189.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_189.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_189.jpg, 0, 0.9144759, 0, 1.757765
F:\DATA\IMG\center_2020_10_19_14_18_33_291.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_291.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_291.jpg, 0, 1, 0, 2.915965
F:\DATA\IMG\center_2020_10_19_14_18_33_392.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_392.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_392.jpg, 0, 1, 0, 4.090593
F:\DATA\IMG\center_2020_10_19_14_18_33_494.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_494.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_494.jpg, 0, 0.9705589, 0, 5.481655
F:\DATA\IMG\center_2020_10_19_14_18_33_598.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_598.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_598.jpg, 0, 0.6565164, 0, 6.385822
F:\DATA\IMG\center_2020_10_19_14_18_33_703.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_703.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_703.jpg, 0, 0.9553432, 0, 7.315603
F:\DATA\IMG\center_2020_10_19_14_18_33_806.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_806.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_806.jpg, 0, 1, 0, 8.446113
F:\DATA\IMG\center_2020_10_19_14_18_33_909.jpg, F:\DATA\IMG\left_2020_10_19_14_18_33_909.jpg, F:\DATA\IMG\right_2020_10_19_14_18_33_909.jpg, 0, 1, 0, 9.568705
F:\DATA\IMG\center_2020_10_19_14_18_34_014.jpg, F:\DATA\IMG\left_2020_10_19_14_18_34_014.jpg, F:\DATA\IMG\right_2020_10_19_14_18_34_014.jpg, 0, 1, 0, 10.68029
F:\DATA\IMG\center_2020_10_19_14_18_34_116.jpg, F:\DATA\IMG\left_2020_10_19_14_18_34_116.jpg, F:\DATA\IMG\right_2020_10_19_14_18_34_116.jpg, 0, 1, 0, 12.12994
F:\DATA\IMG\center_2020_10_19_14_18_34_218.jpg, F:\DATA\IMG\left_2020_10_19_14_18_34_218.jpg, F:\DATA\IMG\right_2020_10_19_14_18_34_218.jpg, -0.2123877, 1, 0, 13.09293
F:\DATA\IMG\center_2020_10_19_14_18_34_320.jpg, F:\DATA\IMG\left_2020_10_19_14_18_34_320.jpg, F:\DATA\IMG\right_2020_10_19_14_18_34_320.jpg, -0.4298937, 1, 0, 14.15447
F:\DATA\IMG\center_2020_10_19_14_18_34_423.jpg, F:\DATA\IMG\left_2020_10_19_14_18_34_423.jpg, F:\DATA\IMG\right_2020_10_19_14_18_34_423.jpg, -0.1337925, 1, 0, 15.07112
F:\DATA\IMG\center_2020_10_19_14_18_34_527.jpg, F:\DATA\IMG\left_2020_10_19_14_18_34_527.jpg, F:\DATA\IMG\right_2020_10_19_14_18_34_527.jpg, 0, 1, 0, 16.28115
F:\DATA\IMG\center_2020_10_19_14_18_34_629.jpg, F:\DATA\IMG\left_2020_10_19_14_18_34_629.jpg, F:\DATA\IMG\right_2020_10_19_14_18_34_629.jpg, -0.2745063, 1, 0, 17.08183
